"p","U:0","U:1","U:2","adjSource","adjnuTilda","checkRNS:0","checkRNS:1","checkRNS:2","dStar:0","dStar:1","dStar:2","nuTilda","nut","pNutpNuTilda","pNutpNuTildaFD","pRNSpNut:0","pRNSpNut:1","pRNSpNut:2","pRNSpNutFD:0","pRNSpNutFD:1","pRNSpNutFD:2","adjSensField","fdSensField","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00011371,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-1.2986e-06,-1.3006e-06,1,0.66,0.66,0.75,1
0.00010983,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-2.409e-06,-2.41e-06,1,0.67,0.67,0.75,1
0.00010595,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-3.5194e-06,-3.5194e-06,1,0.68,0.68,0.75,1
0.00010208,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-4.6298e-06,-4.6288e-06,1,0.69,0.69,0.75,1
9.8198e-05,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-5.7403e-06,-5.7382e-06,1,0.7,0.7,0.75,1
9.432e-05,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-6.8507e-06,-6.8475e-06,1,0.71,0.71,0.75,1
9.0442e-05,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-7.9611e-06,-7.9569e-06,1,0.72,0.72,0.75,1
8.6565e-05,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-9.0715e-06,-9.0663e-06,1,0.73,0.73,0.75,1
8.2687e-05,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-1.0182e-05,-1.0176e-05,1,0.74,0.74,0.75,1
7.8809e-05,0,0,0,0,0,10,10,10,1,1,0,0,0,10,10,10,10,10,10,10,10,-1.1292e-05,-1.1285e-05,1,0.75,0.75,0.75,1
7.6377e-05,0.019997,-6.6595e-07,-2.8502e-07,0,-0.10823,10,10,10,1,1,0,3.777e-07,7.3683e-09,10,10,10,10,10,10,10,10,-1.0841e-05,-1.0834e-05,1,0.76,0.76,0.75,1
7.3945e-05,0.039995,-1.3319e-06,-5.7004e-07,0,-0.21645,10,10,10,1,1,0,7.5541e-07,1.4737e-08,10,10,10,10,10,10,10,10,-1.0389e-05,-1.0382e-05,1,0.77,0.77,0.75,1
7.1513e-05,0.059992,-1.9979e-06,-8.5506e-07,0,-0.32468,10,10,10,1,1,0,1.1331e-06,2.2105e-08,10,10,10,10,10,10,10,10,-9.9373e-06,-9.9309e-06,1,0.78,0.78,0.75,1
6.9081e-05,0.07999,-2.6638e-06,-1.1401e-06,0,-0.4329,10,10,10,1,1,0,1.5108e-06,2.9473e-08,10,10,10,10,10,10,10,10,-9.4856e-06,-9.4795e-06,1,0.79,0.79,0.75,1
6.6649e-05,0.099987,-3.3298e-06,-1.4251e-06,0,-0.54113,10,10,10,1,1,0,1.8885e-06,3.6842e-08,10,10,10,10,10,10,10,10,-9.0339e-06,-9.0281e-06,1,0.8,0.8,0.75,1
6.4217e-05,0.11998,-3.9957e-06,-1.7101e-06,0,-0.64935,10,10,10,1,1,0,2.2662e-06,4.421e-08,10,10,10,10,10,10,10,10,-8.5822e-06,-8.5767e-06,1,0.81,0.81,0.75,1
6.1784e-05,0.13998,-4.6617e-06,-1.9952e-06,0,-0.75758,10,10,10,1,1,0,2.6439e-06,5.1578e-08,10,10,10,10,10,10,10,10,-8.1305e-06,-8.1253e-06,1,0.82,0.82,0.75,1
5.9352e-05,0.15998,-5.3276e-06,-2.2802e-06,0,-0.8658,10,10,10,1,1,0,3.0216e-06,5.8946e-08,10,10,10,10,10,10,10,10,-7.6788e-06,-7.6739e-06,1,0.83,0.83,0.75,1
5.692e-05,0.17998,-5.9936e-06,-2.5652e-06,0,-0.97403,10,10,10,1,1,0,3.3993e-06,6.6315e-08,10,10,10,10,10,10,10,10,-7.2271e-06,-7.2225e-06,1,0.84,0.84,0.75,1
5.4488e-05,0.19997,-6.6595e-06,-2.8502e-06,0,-1.0823,10,10,10,1,1,0,3.777e-06,7.3683e-08,10,10,10,10,10,10,10,10,-6.7754e-06,-6.7711e-06,1,0.85,0.85,0.75,1
5.2056e-05,0.21997,-7.3255e-06,-3.1352e-06,0,-1.1905,10,10,10,1,1,0,4.1547e-06,8.1051e-08,10,10,10,10,10,10,10,10,-6.3237e-06,-6.3196e-06,1,0.86,0.86,0.75,1
4.9624e-05,0.23997,-7.9914e-06,-3.4203e-06,0,-1.2987,10,10,10,1,1,0,4.5324e-06,8.842e-08,10,10,10,10,10,10,10,10,-5.872e-06,-5.8682e-06,1,0.87,0.87,0.75,1
4.7191e-05,0.25997,-8.6574e-06,-3.7053e-06,0,-1.4069,10,10,10,1,1,0,4.9102e-06,9.5788e-08,10,10,10,10,10,10,10,10,-5.4203e-06,-5.4168e-06,1,0.88,0.88,0.75,1
4.4759e-05,0.27996,-9.3233e-06,-3.9903e-06,0,-1.5152,10,10,10,1,1,0,5.2879e-06,1.0316e-07,10,10,10,10,10,10,10,10,-4.9686e-06,-4.9654e-06,1,0.89,0.89,0.75,1
